member_id,first_name,last_name,email,phone,birth_date,registration_date,city,postal_code,subscription_type
MEM00001,Antoine,Thomas,antoine.thomas1@email.fr,0613356886,04/09/1974,08/09/2023,Reims,51100,Premium
MEM00002,Luc,Thomas,luc.thomas2@email.fr,0683197857,2002-12-23,08/03/2024,Lyon,69001,Basic
MEM00003,Jean,Dubois,jean.dubois3@email.fr,0639345092,04/05/1995,2024-09-08,Toulouse,31000,Basic
MEM00004,Sarah,Petit,sarah.petit4@email.fr,0697226012,1998-11-21,05/03/2024,Reims,51100,Premium
MEM00005,David,Vincent,david.vincent5@email.fr,0647338124,28/04/1964,08/03/2024,Paris,75001,VIP
MEM00006,Marc,Robert,marc.robert6@email.fr,0638898923,1959-03-04,2023-04-05,Nantes,44000,Student
MEM00007,Sophie,Laurent,sophie.laurent7@email.fr,0656164955,24/09/1973,14/02/2023,Lille,59000,Student
MEM00008,Sarah,Thomas,sarah.thomas8@email.fr,0660806024,1999-07-12,28/10/2023,Lyon,69001,Senior
MEM00009,Emma,Vincent,emma.vincent9@email.fr,0635808537,29/03/1956,2023-02-16,Reims,51100,Premium
MEM00010,Anne,Dubois,anne.dubois10@email.fr,0641244663,1984-02-07,12/10/2023,Lyon,69001,Student
MEM00011,Antoine,Laurent,antoine.laurent11@email.fr,0631831063,15/11/1981,03/08/2023,Nantes,44000,VIP
MEM00012,Maxime,Dubois,maxime.dubois12@email.fr,0691756179,1965-05-09,2024-06-30,Rennes,35000,Premium
MEM00013,Claire,Garcia,claire.garcia13@email.fr,0660929647,20/12/1999,13/08/2023,Nice,06000,VIP
MEM00014,Marie,Durand,marie.durand14@email.fr,0614308421,1985-12-28,02/10/2023,Nantes,44000,Basic
MEM00015,Thomas,Vincent,thomas.vincent15@email.fr,0652235350,15/10/1994,2024-02-10,Toulouse,31000,Student
MEM00016,Luc,Leroy,luc.leroy16@email.fr,0628740864,2000-05-12,05/07/2024,Toulouse,31000,VIP
MEM00017,Manon,Vincent,manon.vincent17@email.fr,0667503414,31/10/1985,06/01/2024,Lille,59000,Premium
MEM00018,Luc,Bertrand,luc.bertrand18@email.fr,0676238574,1954-03-24,2023-04-23,Lyon,69001,Premium
MEM00019,Antoine,Richard,antoine.richard19@email.fr,0666661351,13/09/1955,30/01/2024,Lille,59000,Student
MEM00020,Léa,Garcia,léa.garcia20@email.fr,0681016525,1999-08-20,12/01/2023,Nice,06000,Basic
MEM00021,Chloé,Roux,chloé.roux21@email.fr,0645812670,08/07/1980,2023-04-25,Rennes,35000,VIP
MEM00022,Camille,Richard,camille.richard22@email.fr,0670897765,1973-08-18,27/05/2024,Paris,75001,Premium
MEM00023,Julien,Thomas,julien.thomas23@email.fr,0693926371,19/07/1995,15/09/2024,Nice,06000,Premium
MEM00024,Luc,Laurent,luc.laurent24@email.fr,0631682744,1997-07-31,2023-01-01,Bordeaux,33000,Senior
MEM00025,Nicolas,David,nicolas.david25@email.fr,0612614124,26/07/1982,11/11/2023,Lyon,69001,Premium
MEM00026,Marie,Durand,marie.durand26@email.fr,0686149359,1957-09-07,12/05/2024,Lyon,69001,Basic
MEM00027,Sarah,Robert,sarah.robert27@email.fr,0627232410,22/08/1992,2024-07-16,Rennes,35000,Premium
MEM00028,Marc,Bertrand,marc.bertrand28@email.fr,0691415657,1969-01-01,06/07/2024,Strasbourg,67000,Premium
MEM00029,Maxime,Moreau,maxime.moreau29@email.fr,0663551839,03/07/1983,24/03/2024,Rennes,35000,Senior
MEM00030,David,Thomas,david.thomas30@email.fr,0643273328,1955-09-30,2023-12-13,Toulouse,31000,Basic
MEM00031,Alexandre,Roux,alexandre.roux31@email.fr,0640885476,04/10/1969,08/01/2023,Lille,59000,Basic
MEM00032,Maxime,Bernard,maxime.bernard32@email.fr,0640728046,1952-10-26,05/12/2023,Lyon,69001,Basic
MEM00033,Julien,Durand,julien.durand33@email.fr,0647376585,20/07/1993,2023-08-08,Rennes,35000,Senior
MEM00034,Luc,Vincent,luc.vincent34@email.fr,0687337818,1971-10-20,29/04/2024,Montpellier,34000,Student
MEM00035,Thomas,Thomas,thomas.thomas35@email.fr,0623009833,02/09/1988,29/12/2023,Rennes,35000,Student
MEM00036,Camille,Garcia,camille.garcia36@email.fr,0617270733,1958-10-30,2023-03-04,Rennes,35000,Student
MEM00037,Manon,Simon,manon.simon37@email.fr,0624665841,11/03/1967,14/07/2023,Toulouse,31000,Senior
MEM00038,David,Robert,david.robert38@email.fr,0666623995,1974-12-28,18/04/2024,Marseille,13001,Premium
MEM00039,Pierre,Garcia,pierre.garcia39@email.fr,0683863413,16/07/1954,2024-10-29,Lyon,69001,Senior
MEM00040,Jean,Dubois,jean.dubois40@email.fr,0641726318,1986-06-18,12/05/2024,Marseille,13001,Student
MEM00041,Thomas,Lefebvre,thomas.lefebvre41@email.fr,0617869910,01/01/1984,03/01/2023,Marseille,13001,Student
MEM00042,Marc,Garcia,marc.garcia42@email.fr,0648285503,15/06/1870,2024-07-23,Strasbourg,67000,Student
MEM00043,Luc,Petit,luc.petit43@email.fr,0649823450,01/04/1955,16/08/2024,Toulouse,31000,Senior
MEM00044,Marie,Simon,marie.simon44@email.fr,0617672593,2002-05-30,03/05/2024,Paris,75001,Senior
MEM00045,Julien,Richard,julien.richard45@email.fr,0617634247,10/03/1957,2023-07-10,Bordeaux,33000,Basic
MEM00046,Léa,Dubois,léa.dubois46@email.fr,0641568532,1960-10-03,06/08/2024,Strasbourg,67000,Premium
MEM00047,Alexandre,Fournier,alexandre.fournier47@email.fr,0615334035,10/05/1957,05/03/2024,Lille,59000,Senior
MEM00048,Alexandre,Bertrand,alexandre.bertrand48@email.fr,0652462441,1968-04-29,2024-11-16,Nice,06000,VIP
MEM00049,Julie,Leroy,julie.leroy49@email.fr,0663121477,30/11/1976,13/04/2024,Marseille,13001,VIP
MEM00050,Pierre,Martin,pierre.martin50@email.fr,0671510041,2000-07-05,13/04/2023,Lille,59000,Basic
MEM00051,Sarah,Petit,sarah.petit51@email.fr,0677898694,19/11/1961,2023-12-24,Nice,06000,Basic
MEM00052,Julie,Laurent,julie.laurent52@email.fr,0648250360,1989-04-24,10/07/2024,Marseille,13001,VIP
MEM00053,Léa,Bertrand,léa.bertrand53@email.fr,0611049999,04/10/1999,03/11/2023,Rennes,35000,Basic
MEM00054,Luc,Leroy,luc.leroy54@email.fr,0625492573,1999-08-20,2023-06-09,Lyon,69001,VIP
MEM00055,Anne,Fournier,anne.fournier55@email.fr,0638270233,05/10/1980,28/07/2023,Reims,51100,VIP
MEM00056,Julien,David,julien.david56@email.fr,0643704923,1958-04-13,11/10/2024,Paris,75001,Student
MEM00057,Marc,Bernard,marc.bernard57@email.fr,0610475894,26/09/1961,2024-10-14,Nantes,44000,VIP
MEM00058,Claire,Garcia,claire.garcia58@email.fr,0684045292,1988-05-15,28/07/2024,Reims,51100,Basic
